experiment_id,date,baseline_commit,solution_commit,scene,seed,change,checkpoint,score,max_score,task_success,grasp_success,arrival_success,collision,elapsed_s,path_length_m,retries,trajectory_path,notes
SMOKE-0DCD-L1,2026-07-27,0dcdddf18a9e694569aa1433cdfc04eb097fed78,3d3ca976b220b28f861a2d73708a1a1b5870404c,FactorySorting1_3FO3ERFHISEM,20260727,weight-free reset and one zero-action step,none,,,not_evaluated,not_evaluated,not_evaluated,not_evaluated,3.023466,,,artifacts/remote-smoke-20260727/scene-smoke-all-0dcdddf.json,"smoke_pass; action_shape=20; model_nq=44; no policy or scorer"
SMOKE-0DCD-L2,2026-07-27,0dcdddf18a9e694569aa1433cdfc04eb097fed78,3d3ca976b220b28f861a2d73708a1a1b5870404c,FactorySorting3_3FO3ERRPH7X9,20260727,weight-free reset and one zero-action step,none,,,not_evaluated,not_evaluated,not_evaluated,not_evaluated,2.777289,,,artifacts/remote-smoke-20260727/scene-smoke-all-0dcdddf.json,"smoke_pass; action_shape=20; model_nq=44; no policy or scorer"
SMOKE-0DCD-L3,2026-07-27,0dcdddf18a9e694569aa1433cdfc04eb097fed78,3d3ca976b220b28f861a2d73708a1a1b5870404c,FactorySorting5_3FO3ERTPXEUT,20260727,weight-free reset and one zero-action step,none,,,not_evaluated,not_evaluated,not_evaluated,not_evaluated,2.838894,,,artifacts/remote-smoke-20260727/scene-smoke-all-0dcdddf.json,"smoke_pass; action_shape=20; model_nq=79; no policy or scorer"
SMOKE-0DCD-L4,2026-07-27,0dcdddf18a9e694569aa1433cdfc04eb097fed78,3d3ca976b220b28f861a2d73708a1a1b5870404c,FactorySorting7_3FO3ERFKY9RN,20260727,weight-free reset and one zero-action step,none,,,not_evaluated,not_evaluated,not_evaluated,not_evaluated,3.026798,,,artifacts/remote-smoke-20260727/scene-smoke-all-0dcdddf.json,"smoke_pass; action_shape=20; model_nq=100; no policy or scorer"
SMOKE-0DCD-L5,2026-07-27,0dcdddf18a9e694569aa1433cdfc04eb097fed78,3d3ca976b220b28f861a2d73708a1a1b5870404c,FactorySorting9_3FO3ERT2C5FP,20260727,weight-free reset and one zero-action step,none,,,not_evaluated,not_evaluated,not_evaluated,not_evaluated,3.252990,,,artifacts/remote-smoke-20260727/scene-smoke-all-0dcdddf.json,"smoke_pass; action_shape=20; model_nq=100; no policy or scorer"
