run	classification	setup_grasp	structural_stage	physical_grasp	hold_steps	clearance_success	lower_inset_success	raise_success	raise_object_lift_m	max_support_steps	final_lift_m	collision_frames	attachment_calls	object_pose_writes	failure_stage	elapsed_s	result_sha256	trajectory_sha256
seed0	invalid_setup	current_center_regrasp	not_reached	false	0	false	false	false	0.000000	0	0.000000	0	0	0	unknown_before_instrumentation	36.478960	e39c874dddad67921834db18f6bfd115fb152e1a7cb7aed35b8346888bd79cf0	895197be383d08db226dc35e62c7d7092a68a6adf863abff238b17dc5ed28883
seed0-stage-diagnostic	invalid_setup	current_center_regrasp	not_reached	false	0	false	false	false	0.000000	0	0.000000	0	0	0	close_center_grasp	36.816388	f502821147db27b59ad57f47e04540ae5989dcbfea28b3c9a46cd0c8720a4c0a	6d29808baf71944d8c19986b25b0c0e092bdfe88214493ffbca874df1ea8f432
seed0-raw-grasp-support	rejected	current_raw_scripted_grasp	bilateral_under_support	true	20	true	false	false	0.000000	0	0.106774	0	0	0	bilateral_under_support	43.584368	1d278ac9b22e33f66b157511027504982da623c66325dd3ac9eed6a3d322b139	e73a3b53d13ab0d93bf18715721bc151a3495872144430afa862baeee774b75a
