source_path	classification	eligible	object_translation_m	minimum_object_lift_m	max_object_gripper_drift_m	failures	duplicate_of	source_sha256
/home/user/jciiot-2026/results/full-physical-l1-20260802/s0-full-physical-actuator-g0p35-no-recenter-0p10-seed0.json	recovery	false	0.06508995932763996	0.14256867630849723	0.007361597975717557	object_translation_m		5a986bdae4505a44e7fa103c8794b7fb91401f570068822263b9311791e68247
/home/user/jciiot-2026/results/full-physical-l1-20260802/s0-full-physical-actuator-g0p35-no-recenter-0p25-seed0.json	recovery	false	0.19920039051515692	0.15764221334306439	0.02131811742599345	object_translation_m		e81acedbc59992e1137a21020470fb9e4801e314a96c0f3d253ca14ecdfa5194
/home/user/jciiot-2026/results/full-physical-l1-20260802/s0-straight-0p25-raw-grasp-seed0.json	rejected	false	0.25217245582758535	0.1949292906327149	0.007473874527249094	missing:robot_state_writes,object_translation_m		e268dedea7c33c04bd6645a0ddf9fa4eff99f3400486e375224d3328a0d3f5a0
/home/user/jciiot-2026/results/full-physical-l1-20260802/s0-straight-0p25-seed0.json	rejected	false	0.0	0.20451662215511535	0.0	missing:robot_state_writes,attachment_calls,attachment_activations,object_translation_m		5735e1e9cee8c9324542cc905377ac019513c94a10eaaf5283e7f2bf906ada19
/home/user/jciiot-2026/results/full-physical-l1-20260802/s0b-outward-x0p25-v0p04-seed0.json	rejected	false	0.08654009297199407	0.06427813911748892	0.029778995874581618	missing:robot_state_writes,dropped,minimum_object_lift_m,object_translation_m		8744f972a1efcdf098d3f388c520d14bd399881068bf043b082864cf29893ca7
/home/user/jciiot-2026/results/full-physical-l1-20260802/s1-fixed-yaw-0p10x2-seed0.json	rejected	false	0.10191490659172409	0.17399934857376653	0.03122135892091573	missing:robot_state_writes,object_translation_m		f32916816efddf6e3f98b31dde20dfe7f8afb43fe35179e59de1e3442ac7fc16
/home/user/jciiot-2026/results/full-physical-l1-20260802/s1-fixed-yaw-recovery-v0p04-0p10x2-seed0.json	rejected	false	0.10019100722816388	0.16247117354159868	0.03208649798044928	missing:robot_state_writes,object_translation_m		c2d725254ae8d00715fb3d80e02e2a6cb6666ff50ad896aeb064c68a790bf506
/home/user/jciiot-2026/results/full-physical-l1-20260802/s1-fixed-yaw-v0p02-0p10x2-seed0.json	rejected	false	0.08645782564739639	0.10333259372402082	0.030370006540092635	missing:robot_state_writes,dropped,minimum_object_lift_m,object_translation_m		70532bbcce94c885d151499074b043f6c985a83c684c1abe0b0e89fc3afa0525
/home/user/jciiot-2026/results/full-physical-l1-20260802/s1-segment-gated-recovery-v0p04-0p10x2-seed0.json	rejected	false	0.06096705186720896	0.060780172787213926	0.016517721263270644	missing:robot_state_writes,dropped,minimum_object_lift_m,object_translation_m		995d2a185517ef8e337c8bcadec7ddb6c4aa845f0f649a73e9a885a4979b344c
/home/user/jciiot-2026/results/full-physical-l1-20260802/s1-turn-0p10x2-seed0.json	rejected	false	0.071109056408878	0.06180265826503484	0.05281465609431881	missing:robot_state_writes,dropped,minimum_object_lift_m,max_object_gripper_drift_m,object_translation_m		2c79a0e0a4054059ceb7962ccaf227ac2d242cc0be7da345062b5736d5b2bb0d
/home/user/jciiot-2026/results/full-physical-l1-20260802/s1-turn-actuator-g0p35-heading-0p10x2-seed0.json	recovery	false	0.1473479771011122	0.004354862771476675	0.20093938514450996	dropped,minimum_object_lift_m,max_object_gripper_drift_m,object_translation_m		da62cf3135655d2cb7494fe80d852e6d7d05fb873b6570681beb338e11d0787c
/home/user/jciiot-2026/results/full-physical-l1-20260802/s1-turn-actuator-g0p35-inward0p0005-0p10x2-seed0.json	recovery	false	0.06317521803222788	0.133638774735914	0.03178420160068109	object_translation_m		148570cf73fd10721c4d4c2d603718a5972ea6cde32db7177e8848fc96b40c3f
/home/user/jciiot-2026/results/full-physical-l1-20260802/s1-turn-actuator-g0p35-no-recenter-0p10x2-seed0.json	recovery	false	0.06242767511022801	0.1348794912476452	0.03162850201872277	object_translation_m		acf8832feefce03a0e583feb53d213d48c7af61edc13ca8226ef09a0fc21fece
/home/user/jciiot-2026/results/full-physical-l1-20260802/s1-turn-actuator-g0p35-recovery-0p10x2-seed0.json	rejected	false	0.0635448545381017	0.13805583451996717	0.01798381839273535	infrastructure_error,object_translation_m		e22176acbbbf3be55619a6516803de980aa363f4e6a73012830221b1749d72df
/home/user/jciiot-2026/results/full-physical-l1-20260802/s1-turn-actuator-g0p35-recovery-v2-0p10x2-seed0.json	recovery	false	0.05553155336505009	0.11131974175412296	0.0162557496338387	dropped,minimum_object_lift_m,object_translation_m		0bd7567899654fc0b425c6627fa245bef51f3bcc8d2194324d0446e225410d24
